,Text,text_modified
0,"If you enjoy reading my Spoiler-Free thoughts, please follow my blog to read my full review :)""Dragon Ball Super: Super Hero offers what most fans of the saga come looking for: energetic action, new transformations, and the classic Akira Toriyama humor that works brilliantly in this film.The risk and courage in creating a narrative focused on Gohan, Piccolo, and Pan turn out to be successful due to the more intimate context, but it's still quite far from the epic levels and supreme satisfaction of the last movie.Exaggerated fan service leads to unjustified, absurd new forms. The pacing and balance of the different storylines and relationships lack better control. The fight sequences have good moments, but some abrupt cuts take away some of the dazzle. And finally, 3D animation proves to be a massive decline in almost every aspect compared to the ideal mix used in recent content.It's a pleasant, light, fun adventure but sadly unfulfilling.""Rating: B-",enjoy reading spoilerfree thoughts please follow blog read full review dragon ball super super hero offers fans saga come looking energetic action new transformations classic akira toriyama humor works brilliantly filmthe risk courage creating narrative focused gohan piccolo pan turn successful due intimate context still quite far epic levels supreme satisfaction last movieexaggerated fan service leads unjustified absurd new forms pacing balance different storylines relationships lack better control fight sequences good moments abrupt cuts take away dazzle finally animation proves massive decline almost every aspect compared ideal mix used recent contentits pleasant light fun adventure sadly unfulfillingrating b
1,"Finally a new Dragon Ball movie! The world is waiting for new movies and more Dragon Ball Super episodes for years, seriously!This movie is cool, the 3D choice is ok, but Cell Max just screaming all the time is ridiculous, he is sadly a big fail ...Character development is nice! Delightful to see Son Gohan finally backAnimation looks good, despite the camera spinning around too muchBut this final boss needs improvement, such a waste of potential. Cell is supposed to be elegant, clever, to absorb other characters to become stronger, not just a stupid animal screaming all the time, what went wrong with this??Looking forward more episodes and movies asap.",finally new dragon ball movie world waiting new movies dragon ball super episodes years seriouslythis movie cool choice ok cell max screaming time ridiculous sadly big fail character development nice delightful see son gohan finally backanimation looks good despite camera spinning around muchbut final boss needs improvement waste potential cell supposed elegant clever absorb characters become stronger stupid animal screaming time went wrong thislooking forward episodes movies asap
2,"Giving the fact that you gave more screen time for the Red Ribbon organization just amazes me. Especially for Piccolo and Gohan.I never actually thought that this movie will have a plot and connections to the original tv series. Normally Dragon ball will have comedy and unnecessary subplots.I love the fact that this movie was engaging and the flow was spot on. The fights and manipulation were great in this movie. Seeing Gohan fight was extraordinary well done.The only flaw was Bulma and her usefulness on the Dragon ball felt slightly annoying. However, the fight with Vegeta and Goku, in hand to hand combat made me feel very happy indeed.I was surprised that I saw this movie. I am glad I watched it again.",giving fact gave screen time red ribbon organization amazes especially piccolo gohani never actually thought movie plot connections original tv series normally dragon ball comedy unnecessary subplotsi love fact movie engaging flow spot fights manipulation great movie seeing gohan fight extraordinary well donethe flaw bulma usefulness dragon ball felt slightly annoying however fight vegeta goku hand hand combat made feel happy indeedi surprised saw movie glad watched
3,"GrandmaI wasn't expecting anything, but I loved it.The CGI is something that still doesn't quite convince me, but I think they didn't do it badly. There were scenes with too good visual art, and some amazing battle choreographies and explosions.I liked the story, but everything felt too short, I would have liked to see more and I feel that the best thing was that the main characters were Gohan and Piccoro to give a refreshing touch to the Dragon Ball story in general. The comedy, as always, is very good, the serious moments feel so good, for example the final part.Being honest, I hope they don't use CGI again, I prefer 2D, but I loved the movie enough to watch it more than once.",grandmai wasnt expecting anything loved itthe cgi something still doesnt quite convince think didnt badly scenes good visual art amazing battle choreographies explosionsi liked story everything felt short would liked see feel best thing main characters gohan piccoro give refreshing touch dragon ball story general comedy always good serious moments feel good example final partbeing honest hope dont use cgi prefer loved movie enough watch
4,"Solid film . Great action , likeable characters, and awesome moments . People will always find ways to pick apart anything dragonball related but if you go into this with an open mind and to simply just watch some new dragonball content you'll be extremely satisfied . The new animation is fantastic during fight scenes and the characters hold very true to the anime. You'll see a ton of negative reviews complaining about the new style but after about 5 minutes in to the movie you'll hardly even realise it's CGI it stays that true to the 2D animation stuff. The humour worked well and the action scenes are up there with the best in the series (have no clue why people are complaining about this). I'll admit it's not as good as the Broly movie but is fantastic in its own right . Go Piccolo and Gohan, 2 neglected characters who really show off what they are capable of.",solid film great action likeable characters awesome moments people always find ways pick apart anything dragonball related go open mind simply watch new dragonball content youll extremely satisfied new animation fantastic fight scenes characters hold true anime youll see ton negative reviews complaining new style minutes movie youll hardly even realise cgi stays true animation stuff humour worked well action scenes best series clue people complaining ill admit good broly movie fantastic right go piccolo gohan neglected characters really show capable
5,"If you had told me that Dragon Ball Super: Super Hero would be a good Dragon Ball film, I would have told you that you were spouting nonsense. This film's trailers were not promising at all: the full CG animation, another attempt to bring back the Red Ribbon, and what looks to be a cash-grab given how successful anime films have been recently (e.g. Demon Slayer Mugen Train and Jujutsu Kaisen 0). I was worried about this film and the fate of the upcoming Slam Dunk film. And I am so glad this movie proved me wrong.First and foremost, the animation. Although I liked Dragon Ball Super Broly, I was not the biggest fan of the video-game-like animation in some of the fight scenes in that film. However, Super Hero's CG animation was not distracting at all to me. Sure, it may have taken a couple of minutes to get used to it, but for the most part, I'd say Toei had done a pretty decent job. And if you have seen other CG animes like Beastars or Land of the Lustrous, then this film would not be anything novel to you. But, I'd still like to see a hand-drawn film should Toei decide to make a sequel. 2D animation just hits different.Regarding the story, it was a pretty basic 3-act structure. But then again, no one should walk into a Dragon Ball film expecting any major plot twists or shocking revelations. There are certain nitpicks regarding Piccolo's plan in the second act or how the Red Ribbon is still a powerful organization despite the fact that it's been confirmed to be mostly gone after Goku's heroics in the OG series. You will find it quite enjoyable you don't think too hard about it.The fight scenes were quite solid this time around. The choreography, the lighting, and camera movements were all on point. Honestly, I got chills quite a few times during the third act (or it could just be the AC in the theaters).And lastly, the characters. If you are here expecting some Goku and Vegeta action, you may be disappointed because they were barely in the film. But I, on the other hand, loved it. It's so refreshing to see Gohan and Piccolo get the spotlight again, and the movie sure gave them the much- needed return after being reduced to mostly background characters in the Dragon Ball Super manga. The Androids looked silly in the posters, but fortunately, they were really fun to watch (they almost made me cry towards the end as well). And Pan, what a cutie! She's easily the cutest kid character in Dragon Ball since young Goku himself. More of her, please. Thanks to this film, I hope the next one will turn the attention to the likes of Yamcha and Tienshinhan (especially Yamcha) as well.All in all, if you are a Dragon Ball fan, I think you will have a good time with this film (if you can tolerate the CG animation or don't overthink the plot).P/S: There's an after-credit scene, so stay till the end!",told dragon ball super super hero would good dragon ball film would told spouting nonsense films trailers promising full cg animation another attempt bring back red ribbon looks cashgrab given successful anime films recently eg demon slayer mugen train jujutsu kaisen worried film fate upcoming slam dunk film glad movie proved wrongfirst foremost animation although liked dragon ball super broly biggest fan videogamelike animation fight scenes film however super heros cg animation distracting sure may taken couple minutes get used part id say toei done pretty decent job seen cg animes like beastars land lustrous film would anything novel id still like see handdrawn film toei decide make sequel animation hits differentregarding story pretty basic act structure one walk dragon ball film expecting major plot twists shocking revelations certain nitpicks regarding piccolos plan second act red ribbon still powerful organization despite fact confirmed mostly gone gokus heroics og series find quite enjoyable dont think hard itthe fight scenes quite solid time around choreography lighting camera movements point honestly got chills quite times third act could ac theatersand lastly characters expecting goku vegeta action may disappointed barely film hand loved refreshing see gohan piccolo get spotlight movie sure gave much needed return reduced mostly background characters dragon ball super manga androids looked silly posters fortunately really fun watch almost made cry towards end well pan cutie shes easily cutest kid character dragon ball since young goku please thanks film hope next one turn attention likes yamcha tienshinhan especially yamcha wellall dragon ball fan think good time film tolerate cg animation dont overthink plotps theres aftercredit scene stay till end
6,"The CGI animation is definitely going to be a turnoff for most who liked the far more polished look of the Broly film.Assuming that is not a problem be prepared for a very long and overall dull buildup. There's a lot of talking in the first half of the movie since the bad guys keep flashing back to previous events and plotting their next move.Once that is over they finally create two androids that magically match in power Gohan and Piccolo. Don't ask why, it was already a stretch to have androids with more power than Super Saiyan back in the Android Saga. The Red Ribbon can simply collect data and create androids that are as powerful as the current heroes with no cap. Go figure.The fight between the heroes and the new androids is tensionless since nothing feels like it's at stake. The world doesn't look like it's in danger and even Pan fools around when she gets kidnapped just for motivating her daddy to try harder. The final boss ends up being a buffed up Cell. Don't get too excited, because he's in his second form and completely mindless compared to his predecessor. The battle is eventually won with the heroes getting new transformations (Piccolo turns yellow because of his age and the dragon, Gohan gets longer silver hair for protecting a daughter that was never in any real danger). Then the villains turn allies because it's a show for kids.As for the power houses of the show, Goku and Vegeta spend the whole movie at Beerus' place, training along with Broly. And don't expect something to come out of all that, they are not doing much and they conveniently never find out about what happens on Earth.The movie as a whole looks like it was made to match the Dokan gatcha game. Its gamers will appreciate it far more than plain watchers. The plot is nothing to bother thinking about, the new power ups are lazy, and there's not much to get from it besides an excuse for more units in the gatcha. An overall bellow average movie in a franchise that is way beyond its prime and runs purely on milking nostalgia.",cgi animation definitely going turnoff liked far polished look broly filmassuming problem prepared long overall dull buildup theres lot talking first half movie since bad guys keep flashing back previous events plotting next moveonce finally create two androids magically match power gohan piccolo dont ask already stretch androids power super saiyan back android saga red ribbon simply collect data create androids powerful current heroes cap go figurethe fight heroes new androids tensionless since nothing feels like stake world doesnt look like danger even pan fools around gets kidnapped motivating daddy try harder final boss ends buffed cell dont get excited hes second form completely mindless compared predecessor battle eventually heroes getting new transformations piccolo turns yellow age dragon gohan gets longer silver hair protecting daughter never real danger villains turn allies show kidsas power houses show goku vegeta spend whole movie beerus place training along broly dont expect something come much conveniently never find happens earththe movie whole looks like made match dokan gatcha game gamers appreciate far plain watchers plot nothing bother thinking new power ups lazy theres much get besides excuse units gatcha overall bellow average movie franchise way beyond prime runs purely milking nostalgia
7,"Solid film, reasonable plot, Sama characters as always.Only one area I didn't like, the CG art style.Nothing more than a personal preference.Other than that just another good Dragon Ball film.",solid film reasonable plot sama characters alwaysonly one area didnt like cg art stylenothing personal preferenceother another good dragon ball film
8,The movie serves us Dragon Ball fans just right with a proper slice of life mix with action packed fights. Walking out of this movie you'll be completely satisfied with not only the plot and fight scenes but also the animation which everyone were quite skeptical about at first.,movie serves us dragon ball fans right proper slice life mix action packed fights walking movie youll completely satisfied plot fight scenes also animation everyone quite skeptical first
9,"First, the story is well balance and don't give less that a good history of DB show in the other movies (cannons).Second, the way that the animation in my opinion, was a 100% compatible with the scenes of action.Third, Toriyama made justice with Gohan... and place him at level of Vegita and Son Goku, yes I'm a fan of Gohan and wait already 30 years to see him in this level... cof cof cof.Four, if is a movie, all effects of sounds always are better in the theatre, and you enjoy it, it's true and this is the reasons why I go to see movies in theatre, and this movie of DB has a good effects.Fifth, I'm and fan of DB manga!!!",first story well balance dont give less good history db show movies cannonssecond way animation opinion compatible scenes actionthird toriyama made justice gohan place level vegita son goku yes im fan gohan wait already years see level cof cof coffour movie effects sounds always better theatre enjoy true reasons go see movies theatre movie db good effectsfifth im fan db manga
